iter	Logloss
0	0.6927197721
1	0.692283105
2	0.6919343962
3	0.6916557015
4	0.6910954213
5	0.6906468716
6	0.69022282
7	0.6898772062
8	0.6894801422
9	0.6891529742
10	0.6888944198
11	0.688671432
12	0.6883583655
13	0.687962219
14	0.6876069671
15	0.6874350715
16	0.6870545924
17	0.6867693701
18	0.6862588552
19	0.6859596562
20	0.685606633
21	0.6852000146
22	0.6848417349
23	0.6844345258
24	0.6841270678
25	0.6839192297
26	0.683531294
27	0.6830233833
28	0.6827951416
29	0.6825188362
30	0.6822820849
31	0.6820799799
32	0.6818058697
33	0.6814942917
34	0.681138043
35	0.680840418
36	0.6804903889
37	0.6801568275
38	0.6798880262
39	0.6796208338
40	0.6794547888
41	0.6792625345
42	0.6789531536
43	0.6786269178
44	0.6783417257
45	0.6781117206
46	0.6779229848
47	0.6775534651
48	0.6773784621
49	0.6770903475
50	0.6768171804
51	0.6764816169
52	0.6761630015
53	0.6759059082
54	0.6756076109
55	0.6752630067
56	0.6750400043
57	0.6748800333
58	0.6747091724
59	0.6745417463
60	0.6743492399
61	0.6740723813
62	0.673946571
63	0.6735858808
64	0.6733618438
65	0.6730111386
66	0.6727414944
67	0.6725379325
68	0.6723304006
69	0.6720340167
70	0.6717888966
71	0.6712968634
72	0.6710580718
73	0.6708400965
74	0.6706637643
75	0.6704924095
76	0.670296027
77	0.6700467673
78	0.6698611605
79	0.6695908964
80	0.6694231651
81	0.6691403706
82	0.6687701436
83	0.6685768059
84	0.6684049784
85	0.6682169385
86	0.667980176
87	0.6677684225
88	0.6675482399
89	0.6674430668
90	0.6673446432
91	0.6671567787
92	0.667027533
93	0.6667607431
94	0.6665271291
95	0.6663830963
96	0.6661588104
97	0.6659338273
98	0.6657156374
99	0.6653971619
100	0.6651968412
101	0.6651137224
102	0.6648628645
103	0.664637546
104	0.6644611453
105	0.6642620595
106	0.6640320002
107	0.6638328492
108	0.6636807351
109	0.6634409183
110	0.6632848901
111	0.6630296723
112	0.6628311922
113	0.6626709581
114	0.6624117726
115	0.662274963
116	0.6619910765
117	0.6617842736
118	0.6614966856
119	0.661188831
120	0.6610581536
121	0.6608557048
122	0.6606900806
123	0.6605151668
124	0.6603426754
125	0.660135232
126	0.6598911121
127	0.6597104195
128	0.6595802862
129	0.6592799082
130	0.6591676355
131	0.6589913252
132	0.6588702685
133	0.6587819585
134	0.6586496473
135	0.6584324795
136	0.6581745131
137	0.6579641085
138	0.6578396002
139	0.6576561457
140	0.6574860803
141	0.6572913943
142	0.6570054111
143	0.6568736505
144	0.6566856214
145	0.6565195078
146	0.6562776885
147	0.6560975424
148	0.6559294398
149	0.6558061081
150	0.6555994091
151	0.6553930648
152	0.6552767935
153	0.6551906647
154	0.6550330277
