iter	Passed	Remaining
0	1	1947
1	3	1897
2	5	1790
3	7	1775
4	8	1779
5	10	1762
6	12	1784
7	14	1804
8	16	1811
9	18	1827
10	20	1810
11	21	1795
12	23	1787
13	25	1769
14	26	1760
15	28	1744
16	29	1728
17	31	1710
18	32	1702
19	34	1702
20	36	1695
21	37	1688
22	39	1684
23	41	1674
24	42	1672
25	44	1671
26	46	1664
27	47	1654
28	49	1654
29	51	1651
30	52	1656
31	54	1654
32	56	1653
33	57	1646
34	59	1648
35	61	1643
36	63	1641
37	64	1641
38	66	1639
39	68	1634
40	69	1631
41	71	1626
42	73	1628
43	74	1623
44	76	1620
45	78	1626
46	80	1624
47	81	1622
48	83	1618
49	84	1614
50	86	1612
51	88	1607
52	89	1604
53	91	1600
54	93	1599
55	95	1604
56	96	1601
57	98	1600
58	100	1597
59	101	1593
60	103	1596
61	105	1591
62	106	1589
63	108	1588
64	110	1588
65	112	1586
66	113	1585
67	115	1583
68	117	1581
69	118	1577
70	120	1575
71	122	1574
72	123	1570
73	125	1566
74	126	1564
75	128	1562
76	130	1563
77	132	1561
78	133	1558
79	135	1557
80	137	1554
81	138	1552
82	140	1551
83	142	1551
84	144	1550
85	145	1547
86	147	1551
87	149	1550
88	151	1549
89	153	1547
90	154	1544
91	156	1545
92	158	1544
93	160	1548
94	162	1547
95	164	1545
96	165	1544
97	167	1543
98	169	1540
99	171	1539
100	172	1536
101	174	1535
102	176	1533
103	177	1531
104	179	1529
105	181	1527
106	182	1524
107	184	1522
108	185	1518
109	187	1515
110	188	1512
111	190	1512
112	192	1509
113	193	1505
114	195	1503
115	196	1499
116	198	1496
117	199	1493
118	201	1490
119	203	1489
120	204	1487
121	206	1483
122	207	1481
123	209	1481
124	211	1479
125	213	1479
126	215	1479
127	217	1479
128	218	1477
129	220	1476
130	222	1473
131	223	1472
132	225	1469
133	227	1469
134	228	1466
135	230	1463
136	231	1459
137	233	1457
138	234	1454
139	236	1453
140	238	1450
141	239	1447
142	241	1444
143	242	1442
144	244	1439
145	245	1436
146	247	1434
147	248	1431
148	250	1428
149	251	1425
150	253	1423
151	254	1420
152	256	1417
153	257	1413
154	258	1411
155	260	1409
156	262	1407
157	263	1405
158	265	1403
159	266	1401
160	268	1399
161	270	1397
162	271	1395
163	273	1393
164	274	1390
165	276	1388
166	277	1386
167	279	1383
168	280	1380
169	282	1378
170	284	1377
171	285	1375
172	287	1372
173	288	1370
174	290	1369
175	291	1366
176	293	1364
177	294	1362
178	296	1359
179	297	1357
180	299	1354
181	300	1352
182	302	1350
183	303	1347
184	305	1345
185	306	1342
186	308	1340
187	309	1338
188	312	1338
189	313	1336
190	315	1334
191	316	1332
192	318	1330
193	319	1327
194	320	1324
195	322	1322
196	323	1320
197	325	1317
198	326	1315
199	328	1313
200	329	1310
201	331	1308
202	332	1306
203	334	1303
204	335	1301
205	337	1299
206	338	1296
207	339	1294
208	341	1291
209	342	1289
210	344	1287
211	345	1284
212	347	1283
213	348	1281
214	350	1279
215	351	1276
216	353	1274
217	354	1271
218	356	1270
219	357	1268
220	359	1266
221	360	1263
222	362	1262
223	363	1260
224	365	1258
225	366	1256
226	368	1255
227	370	1253
228	371	1250
229	373	1248
230	374	1246
231	375	1244
232	377	1242
233	378	1240
234	380	1238
235	381	1235
236	383	1234
237	384	1232
238	386	1230
239	387	1227
240	389	1225
241	390	1223
242	392	1221
243	393	1219
244	394	1217
245	396	1215
246	398	1214
247	399	1212
248	401	1210
249	402	1208
250	404	1206
251	405	1204
252	407	1202
253	409	1201
254	410	1199
255	411	1197
256	413	1194
257	414	1193
258	416	1190
259	417	1188
260	419	1186
261	420	1184
262	422	1183
263	423	1181
264	425	1179
265	426	1177
266	428	1175
267	429	1173
268	431	1171
269	432	1170
270	434	1168
271	435	1166
272	437	1164
273	438	1162
274	440	1160
275	442	1159
276	443	1157
277	445	1155
278	446	1154
279	448	1152
280	449	1150
281	451	1148
282	452	1146
283	454	1144
284	455	1143
285	457	1141
286	458	1139
287	460	1138
288	461	1136
289	463	1134
290	464	1132
291	466	1131
292	467	1129
293	469	1127
294	471	1125
295	472	1123
296	474	1123
297	476	1122
298	477	1120
299	479	1118
300	481	1117
301	482	1115
302	484	1113
303	485	1112
304	487	1110
305	488	1108
306	490	1106
307	491	1104
308	493	1103
309	495	1101
310	496	1100
311	498	1098
312	499	1096
313	501	1094
314	502	1093
315	504	1091
316	505	1089
317	507	1087
318	508	1085
319	510	1084
320	511	1082
321	513	1080
322	514	1078
323	516	1078
324	518	1076
325	520	1075
326	521	1073
327	522	1071
328	524	1069
329	525	1067
330	527	1066
331	529	1064
332	530	1062
333	532	1061
334	533	1059
335	535	1057
336	536	1055
337	538	1054
338	540	1052
339	541	1051
340	543	1049
341	544	1048
342	546	1046
343	547	1044
344	549	1042
345	550	1041
346	552	1039
347	554	1037
348	555	1036
349	556	1034
350	558	1032
351	559	1030
352	561	1028
353	562	1027
354	563	1024
355	565	1022
356	566	1021
357	568	1019
358	569	1017
359	571	1016
360	572	1014
361	574	1012
362	576	1011
363	578	1009
364	579	1008
365	581	1006
366	583	1006
367	585	1005
368	587	1003
369	588	1001
370	589	1000
371	591	998
372	593	997
373	594	995
374	596	994
375	597	992
376	599	990
377	601	989
378	602	987
379	604	985
380	605	984
381	607	982
382	610	982
383	611	981
384	613	979
385	614	977
386	616	976
387	617	974
388	619	972
389	620	971
390	622	969
391	623	967
392	625	965
393	626	963
394	628	962
395	629	960
396	631	958
397	632	956
398	634	955
399	635	953
400	637	952
401	639	950
402	640	948
403	642	947
404	643	945
405	645	944
406	647	942
407	648	941
408	650	939
409	651	937
410	653	936
411	654	934
412	656	932
413	657	931
414	659	929
415	660	927
416	662	926
417	663	924
418	665	922
419	667	921
420	668	919
421	670	917
422	671	916
423	673	914
424	674	912
425	676	911
426	677	909
427	679	908
428	680	906
429	682	904
430	683	902
431	685	901
432	686	899
433	688	897
434	689	896
435	691	894
436	692	892
437	694	891
438	696	889
439	697	887
440	699	886
441	700	884
442	702	883
443	703	881
444	705	879
445	707	879
446	709	877
447	710	875
448	712	874
449	713	872
450	715	870
451	717	869
452	718	867
453	720	866
454	721	864
455	723	862
456	724	861
457	726	859
458	727	857
459	729	856
460	731	854
461	732	853
462	734	851
463	735	850
464	737	848
465	738	846
466	740	845
467	742	843
468	743	841
469	744	840
470	746	838
471	747	836
472	749	834
473	750	833
474	752	831
475	753	829
476	755	827
477	756	826
478	758	824
479	759	823
480	761	821
481	763	820
482	765	818
483	766	817
484	768	815
485	769	814
486	771	812
487	772	810
488	774	809
489	776	807
490	777	806
491	779	804
492	781	803
493	782	801
494	784	800
495	785	798
496	787	796
497	788	795
498	790	793
499	791	791
500	793	790
501	794	788
502	796	786
503	797	785
504	799	783
505	800	781
506	802	780
507	804	779
508	806	777
509	807	775
510	808	774
511	810	772
512	811	770
513	813	769
514	814	767
515	816	765
516	817	764
517	819	762
518	820	760
519	822	759
520	824	757
521	825	756
522	827	754
523	829	753
524	830	751
525	832	750
526	833	748
527	835	746
528	836	745
529	838	743
530	839	741
531	841	740
532	842	738
533	844	736
534	845	735
535	847	733
536	848	731
537	850	729
538	851	728
539	853	726
540	854	725
541	856	723
542	858	722
543	859	720
544	861	718
545	862	717
546	864	715
547	865	713
548	866	712
549	868	710
550	869	708
551	871	707
552	872	705
553	874	703
554	875	702
555	877	700
556	878	698
557	880	697
558	881	695
559	882	693
560	885	692
561	886	690
562	887	689
563	889	687
564	890	685
565	892	684
566	893	682
567	895	680
568	896	679
569	898	677
570	899	676
571	901	674
572	902	672
573	904	671
574	905	669
575	907	667
576	908	666
577	909	664
578	911	662
579	912	660
580	914	659
581	915	657
582	917	655
583	919	654
584	920	653
585	921	651
586	923	649
587	924	647
588	926	646
589	927	644
590	929	642
591	930	641
592	931	639
593	933	637
594	934	636
595	936	634
596	937	633
597	939	631
598	940	629
599	942	628
600	943	626
601	944	624
602	946	623
603	948	621
604	949	619
605	950	618
606	952	616
607	953	614
608	955	613
609	956	611
610	958	610
611	959	608
612	961	606
613	962	605
614	963	603
615	965	601
616	966	600
