,GLD,GLD
2008-02-01,1,
2008-03-03,1,0.011020976868688031
2008-03-04,1,-0.021184673013668182
2008-03-05,1,0.026686288163304633
2008-03-06,1,-0.012484662356355493
2008-03-07,1,-0.004248742612532383
2008-03-10,1,-0.002289453634018351
2008-03-11,1,0.0012516440361923123
2008-03-12,1,0.010626151632053823
2008-03-13,1,0.013709866739230196
2008-03-14,1,0.003762484852152352
2008-03-17,1,0.004660106258120869
2008-03-18,1,-0.026923446790799797
2008-03-19,1,-0.03585491279246276
2008-03-20,1,-0.03364141468850316
2008-03-24,1,0.0021131665473592674
2008-03-25,1,0.029189843810795417
2008-03-26,1,0.011538872598824433
2008-03-27,1,-0.0036247756526995613
2008-03-28,1,-0.016905647833642953
2008-03-31,1,-0.01599906002667963
2008-04-01,1,-0.03926560013231822
2008-04-02,1,0.02774575196615451
2008-04-03,1,0.00168031288808788
2008-04-04,1,0.009282060479206529
2008-04-07,1,0.010193885528479918
2008-04-08,1,-0.00899418351752836
2008-04-09,1,0.021472080511013222
2008-04-10,1,-0.005634459500513986
2008-04-11,1,-0.005121429753741891
2008-04-14,1,-0.002081078149565208
2008-04-15,1,0.006036692438517263
2008-04-16,1,0.017564836533195273
2008-04-17,1,-0.007612298810192322
2008-04-18,1,-0.020959322203780672
2008-04-21,1,-0.004083014073799362
2008-04-22,1,0.00022156945225934902
2008-04-23,1,-0.01163172107466707
2008-04-24,1,-0.022416498236226302
2008-04-25,1,0.0005732105212515636
2008-04-28,1,0.004812717021838148
2008-04-29,1,-0.02143921576543123
2008-04-30,1,0.009789115384971027
2008-05-01,0,-0.030698252917109734
2008-05-02,0,0
2008-05-05,0,0
2008-05-06,0,0
2008-05-07,0,0
2008-05-08,0,0
2008-05-09,0,0
2008-05-12,0,0
2008-05-13,0,0
2008-05-14,0,0
2008-05-15,0,0
2008-05-16,0,0
2008-05-19,0,0
2008-05-20,0,0
2008-05-21,0,0
2008-05-22,0,0
2008-05-23,0,0
2008-05-27,0,0
2008-05-28,0,0
2008-05-29,0,0
2008-05-30,0,0
2008-06-02,0,0
2008-06-03,0,0
2008-06-04,0,0
2008-06-05,0,0
2008-06-06,0,0
2008-06-09,0,0
2008-06-10,0,0
2008-06-11,0,0
2008-06-12,0,0
2008-06-13,0,0
2008-06-16,0,0
2008-06-17,0,0
2008-06-18,0,0
2008-06-19,0,0
2008-06-20,0,0
2008-06-23,0,0
2008-06-24,0,0
2008-06-25,0,0
2008-06-26,0,0
2008-06-27,0,0
2008-06-30,0,0
2008-07-01,1,0
2008-07-02,1,0.005503933592487921
2008-07-03,1,-0.011913712913665582
2008-07-07,1,-0.00901579647698651
2008-07-08,1,-0.004055713394357894
2008-07-09,1,0.007043796889161843
2008-07-10,1,0.022185779008709015
2008-07-11,1,0.017427615781957072
2008-07-14,1,0.007881462496187708
2008-07-15,1,0.002710817400778101
2008-07-16,1,-0.017988933768095912
2008-07-17,1,-0.002329534254720304
2008-07-18,1,-0.0005307052760558153
2008-07-21,1,0.010088187279481166
2008-07-22,1,-0.021656908415746485
2008-07-23,1,-0.02675690875880094
